ELAPSED SECONDS,MACHINE_STATE,TEMPERATURE,MW_POWER
0,0,131,0
0,0,131,0
0,0,131,0
0,0,131,0
3,1,131,0
11,1,131,0
20,1,131,0
28,1,131,0
37,1,131,0
45,1,131,0
54,1,131,0
62,1,131,0
71,1,131,0
79,1,131,0
88,1,131,0
96,1,131,0
105,1,131,0
